Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,3.56051837431537E-06,0.000113782895444087,0.0103683192174064,0,0,0,8.534795777719,0.0313527429203055,-1.01541581029892E-06,-1.07263922262646E-06,0.0504190458696739,-8.99294508164332E-05,0.0475793827870453,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/base_link.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/base_link.STL,,BASE-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LINK_L1,-6.92170643301626E-08,-1.51282743337602E-05,0.059552778136023,0,0,0,3.9634339446951,0.00771849424837419,-8.53395660232772E-07,1.46949827377146E-09,0.00782429269137684,2.08211386353778E-06,0.00773849877963618,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L1.STL,,L_LINK1-1,coord_L1,AXIS_L1,JOINT_L1,revolute,-0.106,0,0,3.1416,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
LINK_L2,-0.00161389199959538,0.109413538339146,0.000486968452788193,0,0,0,3.77738840138226,0.017398908144898,-0.000311849670723211,1.39056091881881E-05,0.0097749180467322,-0.000414031288516339,0.0146465644838559,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L2.STL,,L_LINK2-1,coord_L2,AXIS_L2,JOINT_L2,revolute,0,0,0.061,1.5708,1.5708,0,LINK_L1,0,0,1,0,0,0,0,,,,,,,,
LINK_L3,0.000700320772332008,0.00969139564417535,-0.135462623259175,0,0,0,3.59262397650648,0.0302831726867375,2.76348322471797E-05,0.000252356115220069,0.0324036832512038,0.00149317453880794,0.014224840085199,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L3.STL,,L_LINK3-2,coord_L3,AXIS_L3,JOINT_L3,revolute,0,0.183,0,1.5708,0,0,LINK_L2,0,0,1,0,0,0,0,,,,,,,,
LINK_L4,0.111701578307267,0.00355403504398386,0.0512295108100788,0,0,0,8.60818099327112,0.0274097334369474,0.00545179651823928,0.000199884218813842,0.168526145595671,-1.74301620560199E-06,0.165681955419885,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L4.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L4.STL,,L_LINK4-2,coord_L4,AXIS_L4,JOINT_L4,revolute,-0.0516,-0.005,-0.237,0,1.5708,0,LINK_L3,0,0,1,0,0,0,0,,,,,,,,
LINK_L5,6.62661078232318E-08,0.00426165224024064,0.0516144830011017,0,0,0,4.14002049154091,0.0085990272817376,2.24142896102055E-09,-8.53395641261122E-07,0.00802808945553078,2.25086671400731E-06,0.00870709893558791,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L5.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L5.STL,,L_LINK5-1,coord_L5,AXIS_L5,JOINT_L5,revolute,0.37,-0.005,0,0,0,0,LINK_L4,0,0,1,0,0,0,0,,,,,,,,
LINK_L6,5.58153339869083E-06,0.0507733542549267,-0.0331828584344808,0,0,0,4.46370362417452,0.0280531352875821,-5.78611601880667E-07,7.74244017617182E-07,0.0225586720016511,-0.00350808779823298,0.0150950458764849,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L6.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_L6.STL,,L_LINK6-1,coord_L6,AXIS_L6,JOINT_L6,revolute,0,0.0725,0.0516,1.5708,1.5708,0,LINK_L5,0,0,1,0,0,0,0,,,,,,,,
LINK_R1,6.92164925653049E-08,1.51282748375031E-05,0.0595527781372258,0,0,0,3.96343394458631,0.00771849424840239,-8.53395477027585E-07,-1.46959496734758E-09,0.0078242926913489,-2.08211379955066E-06,0.00773849877951949,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R1.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R1.STL,,R_LINK1-1,coord_R1,AXIS_R1,JOINT_R1,revolute,0.106,0,0,0,1.5708,0,base_link,0,0,1,0,0,0,0,,,,,,,,
LINK_R2,-0.0016146123021254,0.10941376048029,-0.000488039420374099,0,0,0,3.7773115346162,0.0173986187585205,-0.000311962535762005,-1.36546661845248E-05,0.00977467337602778,0.000413945427803824,0.0146463881285214,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R2.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R2.STL,,R_LINK2-1,coord_R2,AXIS_R2,JOINT_R2,revolute,0,0,0.061,1.5708,1.5708,0,LINK_R1,0,0,1,0,0,0,0,,,,,,,,
LINK_R3,0.000694563219510266,0.00968700464199349,0.135454808018665,0,0,0,3.59228381979526,0.0302813066755261,2.86623051709676E-05,-0.000252080563411604,0.0324025678598891,-0.00149175894663388,0.0142239522611104,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R3.STL,0.698039215686274,0.698039215686274,0.698039215686274,1,0,0,0,0,0,0,package://JAKA_Humannoid/meshes/LINK_R3.STL,,R_LINK3-1,coord_R3,AXIS_R3,JOINT_R3,revolute,0,0.183,0,-1.5708,0,0,LINK_R2,0,0,1,0,0,0,0,,,,,,,,
