DataName,Data 2025-04-17 11-35-22,FrameRate,120,StartTime,2025.04.17 11:35:23:653,FrameCount,1086,LengthUnits,mm,CoordinateSpace,World

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd
,ID,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,55,55,55,55,55,55,56,56,56,56,56,56,57,57,57,57,57,57,58,58,58,58,58,58,59,59,59,59,59,59
,,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.008333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-178.846741,-85.873169,-178.993210,9.444016,945.703064,1052.454468,-4.484684,-0.476784,2.182768,80.447083,0.000102,0.000086,9.302552,13.536520,-0.000003,-0.000119,-363.151398,-0.000006,-6.829525,-1.084104,-0.669199,-0.000105,-483.976685,-0.000010,0.007859,0.000048,-0.000000,0.000000,-62.578182,144.309097,-4.217694,-2.734632,-3.175688,-80.447006,-0.000101,-0.000076,9.099357,-19.185560,0.000038,0.000097,-363.151245,-0.000014,-5.785443,3.414873,1.195610,-0.000019,-483.976685,-0.000031,0.269079,0.000120,0.000001,-0.000629,-62.578194,144.309113,-6.133396,-0.517999,1.639757,0.000004,47.568470,-0.000002,-0.220334,-2.611468,-1.352208,0.000063,88.349159,-0.000006,8.235152,-0.386998,-0.652211,0.000090,93.586433,0.000001,0.096470,2.005102,0.762721,0.000089,199.571655,0.000058,-2.234064,5.621413,-0.931714,-0.000353,138.326614,19.242092,9.679221,-6.283640,-8.272189,42.581894,172.908188,0.000033,31.655569,-10.736717,-61.555958,125.606956,-0.000211,-0.000019,0.493681,-32.274223,0.000540,249.790375,-0.000019,-0.000153,-0.320756,0.350638,4.150525,228.096893,-0.000019,0.000048,8.748983,7.074784,8.652621,-42.581741,172.913132,0.000048,36.088173,15.765676,62.947620,-125.606949,0.000088,-0.000153,1.543448,27.875668,0.174821,-249.790741,0.000191,0.000076,-3.836255,-3.204557,5.462887,-228.144150,-0.142183,0.538473,158.025696,30.014374,-121.048721,248.009415,-2093.552490,8.465424,22.666264,42.972065,-63.307732,-1178.640015,1228.750732,18.358307,0.000000,0.000000,0.000000,0.000000,126.112488,0.000000,0.000000,0.000000,0.000000,0.000057,-0.000001,55.083981,-0.000002,0.000150,0.000000,-0.000062,0.000000,55.083866
2,0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-178.845306,-85.861092,-178.996292,9.521924,945.694214,1052.272705,-4.480163,-0.468451,2.190530,80.446846,0.000009,-0.000048,9.295212,13.554170,-0.000001,0.000137,-363.151306,0.000032,-6.834524,-1.069885,-0.665971,-0.000060,-483.976776,-0.000010,0.008972,-0.000031,0.000000,0.000210,-62.578156,144.309021,-4.243590,-2.716833,-3.171800,-80.447083,-0.000086,0.000038,9.141126,-19.194094,-0.000022,0.000181,-363.151276,0.000011,-5.804425,3.415069,1.189311,-0.000100,-483.976685,0.000241,0.268850,-0.000106,-0.000001,0.000134,-62.578205,144.308945,-6.120816,-0.518279,1.644997,-0.000088,47.568340,0.000001,-0.216533,-2.604690,-1.352513,0.000060,88.349197,0.000017,8.232311,-0.386847,-0.652477,0.000108,93.586388,-0.000032,0.089610,2.001884,0.768855,-0.000056,199.571533,0.000055,-2.237710,5.619221,-0.931111,-0.000176,138.326523,19.242104,9.682639,-6.289993,-8.268658,42.581650,172.907928,-0.000024,31.684927,-10.732378,-61.557240,125.607071,-0.000065,-0.000229,0.475381,-32.294773,0.000538,249.790375,-0.000076,-0.000095,-0.328480,0.352062,4.170384,228.096893,0.000057,0.000067,8.744152,7.073445,8.651340,-42.581772,172.913605,0.000091,36.083118,15.766468,62.951775,-125.606720,-0.000072,0.000019,1.536387,27.888597,0.175200,-249.791046,0.000076,-0.000038,-3.824755,-3.207881,5.476422,-228.131241,-0.140257,0.456095,158.025482,30.003145,-121.039925,248.357468,-2093.264404,8.629456,22.682415,42.976017,-63.316574,-1178.228882,1229.083496,18.583603,0.000000,0.000000,0.000000,0.000000,126.112488,0.000000,-0.000000,-0.000014,0.000000,-0.000134,0.000008,55.084019,0.000001,-0.000061,-0.000000,0.000148,0.000009,55.083927
3,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-178.837982,-85.873550,-178.987640,9.610113,945.681458,1052.000610,-4.500981,-0.476048,2.209287,80.446968,-0.000033,0.000010,9.293805,13.553355,-0.000004,0.000093,-363.151489,-0.000021,-6.833290,-1.083027,-0.668640,0.000005,-483.976746,-0.000012,0.009747,0.000031,0.000000,0.000086,-62.578217,144.309082,-4.271675,-2.696592,-3.155985,-80.447121,0.000033,0.000000,9.159323,-19.212898,-0.000011,0.000163,-363.151489,-0.000021,-5.821011,3.398366,1.179487,0.000005,-483.976593,0.000043,0.269602,-0.000007,-0.000001,0.000057,-62.578171,144.309128,-6.120896,-0.523302,1.633095,-0.000088,47.568535,-0.000000,-0.217169,-2.610911,-1.352341,0.000105,88.349045,-0.000001,8.225558,-0.385025,-0.642511,-0.000004,93.586342,-0.000004,0.084984,1.999085,0.777998,-0.000149,199.571869,0.000002,-2.247508,5.609400,-0.927689,0.000122,138.326614,19.242117,9.679583,-6.305726,-8.255115,42.581757,172.908157,-0.000052,31.730093,-10.740227,-61.539104,125.607002,0.000037,-0.000057,0.509962,-32.301258,0.000541,249.790665,0.000134,0.000038,-0.419901,0.355666,4.167008,228.096756,-0.000095,-0.000348,8.741626,7.068115,8.647351,-42.581856,172.913361,0.000014,36.075844,15.762671,62.965336,-125.606613,0.000522,-0.000010,1.526887,27.900578,0.175553,-249.791260,0.000019,0.000076,-3.815599,-3.207340,5.487785,-228.146637,-0.193624,0.532870,158.028091,29.994593,-121.025909,248.809357,-2093.167236,8.761444,22.701092,42.983482,-63.324100,-1177.802856,1229.463379,18.750763,0.000000,0.000000,0.000000,0.000000,126.112488,0.000000,0.000000,0.000007,0.000000,-0.000067,0.000003,55.083954,-0.000000,0.000000,0.000000,0.000067,-0.000004,55.083885
4,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-178.832291,-85.881531,-178.981750,9.677187,945.683533,1051.788086,-4.516931,-0.475902,2.223819,80.446976,-0.000016,-0.000191,9.292573,13.556808,-0.000006,0.000193,-363.151428,-0.000020,-6.822992,-1.092304,-0.671434,-0.000055,-483.976593,-0.000007,0.012983,-0.000024,-0.000000,0.000076,-62.578197,144.309006,-4.295359,-2.679162,-3.144508,-80.447067,0.000016,0.000181,9.176140,-19.232882,-0.000040,0.000088,-363.151367,0.000017,-5.830003,3.387953,1.169670,-0.000257,-483.976685,0.000288,0.268789,-0.000553,-0.000004,0.000839,-62.578171,144.308899,-6.123740,-0.524908,1.632556,-0.000029,47.568443,0.000002,-0.214027,-2.612294,-1.348662,0.000008,88.349152,-0.000019,8.218938,-0.382384,-0.637829,0.000243,93.586472,0.000016,0.091780,1.999992,0.783629,-0.000208,199.571548,0.000055,-2.250517,5.607690,-0.927675,0.000017,138.326447,19.242079,9.669038,-6.281449,-8.260559,42.581707,172.907837,-0.000029,31.693750,-10.733401,-61.593880,125.606949,0.000025,-0.000324,0.500515,-32.272614,0.000525,249.790436,0.000134,-0.000038,-0.306902,0.332148,4.156354,228.096741,-0.000172,-0.000081,8.737963,7.057230,8.639662,-42.581944,172.913132,0.000124,36.072304,15.760520,62.978477,-125.606728,0.000167,0.000124,1.520261,27.914536,0.176142,-249.791122,-0.000038,-0.000029,-3.809917,-3.214057,5.497287,-228.142929,-0.213003,0.492501,158.032959,29.986095,-121.008430,249.378433,-2092.656250,8.974152,22.721020,42.990326,-63.329746,-1177.403320,1229.796875,18.964767,0.000000,0.000000,0.000000,0.000000,126.112488,0.000000,-0.000000,-0.000051,0.000000,0.000029,-0.000015,55.084019,0.000005,-0.000485,-0.000001,0.000854,0.000010,55.084072
5,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-178.826096,-85.881439,-178.975754,9.727939,945.685547,1051.577637,-4.530720,-0.473854,2.238506,80.447006,-0.000097,0.000010,9.292351,13.564148,-0.000003,0.000073,-363.151306,0.000006,-6.829197,-1.097725,-0.677492,0.000007,-483.976624,-0.000005,0.010884,-0.000034,-0.000000,0.000038,-62.578239,144.309128,-4.312432,-2.661499,-3.131854,-80.447014,0.000020,0.000000,9.180578,-19.245619,0.000011,-0.000182,-363.151306,0.000032,-5.836051,3.381819,1.164633,0.000148,-483.976807,-0.000083,0.269005,-0.000000,0.000000,-0.000210,-62.578163,144.309143,-6.129348,-0.525663,1.631554,0.000107,47.568451,-0.000013,-0.212637,-2.615949,-1.345056,0.000025,88.349159,0.000004,8.213336,-0.387635,-0.633259,-0.000111,93.586388,0.000042,0.096191,1.998628,0.789104,-0.000027,199.571838,-0.000016,-2.253619,5.607478,-0.932911,0.000110,138.326752,19.242094,9.666684,-6.280009,-8.251233,42.581707,172.908020,-0.000052,31.687138,-10.726922,-61.629387,125.607208,-0.000135,-0.000219,0.502851,-32.252060,0.000530,249.790634,-0.000038,-0.000038,-0.285501,0.315685,4.152558,228.096771,0.000038,0.000076,8.735998,7.058087,8.630756,-42.581909,172.913376,0.000005,36.073196,15.756173,62.990971,-125.606621,0.000074,0.000048,1.509738,27.931131,0.176680,-249.791321,0.000038,-0.000086,-3.805721,-3.221289,5.506827,-228.161240,-0.242481,0.548625,158.040192,29.978415,-120.986740,250.053864,-2092.313477,9.184113,22.745035,43.001801,-63.331497,-1177.024902,1230.128662,19.204407,0.000000,0.000000,0.000000,0.000000,126.112488,0.000000,-0.000000,-0.000020,0.000000,0.000105,0.000013,55.083977,-0.000001,0.000044,0.000000,-0.000200,-0.000004,55.083969
6,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-178.825226,-85.888382,-178.980728,9.695318,945.688782,1051.456055,-4.520132,-0.477189,2.246263,80.447227,-0.000009,0.000076,9.287379,13.564720,0.000004,-0.000210,-363.151306,-0.000010,-6.826683,-1.102513,-0.679216,0.000181,-483.976746,0.000069,0.008888,0.000017,-0.000000,-0.000134,-62.578117,144.308990,-4.303411,-2.669614,-3.125200,-80.446838,-0.000067,-0.000076,9.181567,-19.246264,0.000012,-0.000223,-363.151489,0.000010,-5.841401,3.384725,1.161448,0.000095,-483.976624,-0.000043,0.268910,0.000413,0.000002,-0.000591,-62.578121,144.309052,-6.135439,-0.510551,1.647747,0.000115,47.568398,0.000004,-0.206956,-2.620804,-1.347758,-0.000083,88.349220,0.000008,8.218799,-0.401820,-0.637429,-0.000010,93.586342,0.000007,0.104465,2.002326,0.797017,0.000005,199.571960,0.000021,-2.256453,5.606380,-0.938379,-0.000174,138.326630,19.242113,9.668179,-6.288242,-8.246320,42.581886,172.908142,0.000105,31.691652,-10.721705,-61.664581,125.606857,-0.000059,0.000439,0.510245,-32.239372,0.000567,249.790344,-0.000038,-0.000076,-0.276098,0.307359,4.150422,228.096802,-0.000172,-0.000105,8.735626,7.049136,8.617287,-42.581787,172.913452,-0.000052,36.076492,15.751535,62.995499,-125.607002,-0.000150,-0.000076,1.505436,27.952364,0.177121,-249.791031,0.000095,0.000048,-3.815341,-3.225405,5.516643,-228.158798,-0.238457,0.449662,158.048477,29.969194,-120.960960,250.865936,-2091.955566,9.451752,22.769949,43.012470,-63.331062,-1176.691406,1230.363525,19.561691,0.000000,0.000000,0.000000,0.000000,126.112488,0.000000,-0.000000,-0.000003,-0.000000,-0.000076,-0.000008,55.083969,-0.000003,0.000294,0.000000,-0.000148,-0.000014,55.083866
