DataName,Data 2025-04-17 11-39-21,FrameRate,120,StartTime,2025.04.17 11:39:21:774,FrameCount,473,LengthUnits,mm,CoordinateSpace,World

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd
,ID,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,55,55,55,55,55,55,56,56,56,56,56,56,57,57,57,57,57,57,58,58,58,58,58,58,59,59,59,59,59,59
,,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.008333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.726068,-88.693283,-0.139008,35.687840,950.670166,2101.484131,-3.662361,-4.133867,2.016898,81.280296,-0.000081,0.000043,10.436118,11.962024,-0.000001,-0.000244,-368.754150,0.000005,-7.867130,-0.451749,-0.215310,0.000110,-485.745667,0.000093,-0.330929,-0.000020,0.000000,0.000210,-62.671196,144.523499,-2.774454,-9.825330,-3.194282,-81.279991,0.000081,-0.000033,8.250606,-15.409685,0.000015,0.000173,-368.754333,0.000033,-5.644870,3.755237,0.176455,-0.000374,-485.745544,0.000262,0.063374,-0.000079,-0.000002,0.000210,-62.671085,144.523178,-5.908412,-1.000114,-1.523074,0.000131,47.078278,-0.000003,-0.724652,-4.812565,-0.448503,-0.000018,87.438416,-0.000023,8.272104,-2.334463,0.993284,0.000235,92.622009,-0.000001,0.495768,3.359238,0.755939,-0.000252,198.268448,0.000073,-3.416910,7.802669,-0.082932,0.000389,137.423264,19.116419,7.731679,-7.194676,-9.367167,41.876450,170.044647,0.000114,26.603403,-7.717213,-60.911194,124.498215,-0.000032,0.000057,-0.269239,-31.021294,0.000413,251.875076,0.000019,-0.000172,-1.132090,0.261332,8.124252,227.429626,0.000420,0.000343,6.152469,5.790350,9.451861,-41.876945,170.050079,-0.000005,35.352398,14.166183,61.759071,-124.498299,0.000185,-0.000086,1.871674,26.360701,0.123884,-251.875580,0.000038,0.000086,-1.816049,-3.782819,3.697615,-227.429565,0.003815,0.000019,153.991226,36.398964,-131.208145,-50.517654,-2813.819824,534.554443,21.330130,42.361855,-59.187820,-1301.970947,1890.267334,-696.074707,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,0.000000,-0.000000,0.000000,-0.000014,0.000008,55.248638,0.000001,-0.000041,-0.000001,-0.000505,0.000008,55.248787
2,0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.725563,-88.702904,-0.141504,35.712440,950.678589,2101.371582,-3.662727,-4.131455,2.024995,81.279823,-0.000034,-0.000010,10.438875,11.966538,0.000004,0.000096,-368.754395,-0.000030,-7.862956,-0.451941,-0.221872,0.000014,-485.745361,-0.000029,-0.331335,-0.000007,0.000000,0.000305,-62.671173,144.523590,-2.779071,-9.824162,-3.188145,-81.280441,0.000186,-0.000014,8.258972,-15.402220,-0.000012,0.000157,-368.754425,-0.000076,-5.647889,3.759570,0.174152,0.000165,-485.745514,-0.000007,0.062912,0.000099,0.000003,-0.000134,-62.671234,144.523468,-5.903825,-1.000788,-1.521381,-0.000372,47.078251,-0.000005,-0.717142,-4.812829,-0.454092,0.000024,87.438499,-0.000025,8.279471,-2.334437,0.994540,0.000266,92.621727,0.000007,0.497606,3.359761,0.765377,0.000208,198.268402,-0.000050,-3.440081,7.809159,-0.077999,-0.000455,137.423309,19.116453,7.734067,-7.201251,-9.371825,41.876862,170.044861,-0.000014,26.608589,-7.727481,-60.918331,124.497971,0.000048,0.000076,-0.264451,-31.040901,0.000445,251.875031,0.000172,-0.000153,-1.157140,0.251654,8.141695,227.429962,-0.000095,-0.000138,6.155394,5.792984,9.461881,-41.876450,170.050140,-0.000057,35.348732,14.161524,61.748234,-124.498428,0.000185,-0.000095,1.877633,26.347654,0.123025,-251.875168,0.000210,0.000019,-1.835366,-3.779564,3.693485,-227.429932,0.003729,-0.000043,153.945358,36.379425,-131.225540,-49.703369,-2813.703125,533.848267,21.312990,42.397888,-59.204292,-1302.173340,1890.692871,-694.323425,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,0.000000,0.000020,0.000000,-0.000062,-0.000009,55.248569,-0.000000,-0.000000,-0.000000,0.000196,-0.000006,55.248596
3,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.724632,-88.703812,-0.141843,35.701374,950.681885,2101.244141,-3.663514,-4.131385,2.033820,81.279953,-0.000102,-0.000052,10.443686,11.967296,-0.000003,0.000379,-368.754211,-0.000024,-7.859270,-0.456291,-0.222465,-0.000532,-485.745575,-0.000069,-0.328122,-0.000027,-0.000000,0.000420,-62.671204,144.523697,-2.780997,-9.829506,-3.180817,-81.280251,0.000026,0.000062,8.265155,-15.400059,-0.000020,0.000256,-368.754303,-0.000053,-5.649761,3.760349,0.165431,0.000184,-485.745544,0.000131,0.065745,-0.000188,-0.000004,0.000534,-62.671120,144.523468,-5.904376,-0.999685,-1.519349,-0.000196,47.078243,0.000000,-0.713098,-4.816534,-0.461539,0.000482,87.438591,-0.000011,8.288702,-2.336662,0.996293,0.000291,92.621857,-0.000007,0.501146,3.355808,0.772822,-0.000512,198.268600,0.000045,-3.458380,7.812187,-0.073644,0.000229,137.422928,19.116459,7.736354,-7.202842,-9.373320,41.876427,170.044678,-0.000043,26.613050,-7.736611,-60.926647,124.498558,-0.000349,-0.000219,-0.258600,-31.061386,0.000394,251.874771,-0.000057,-0.000095,-1.174116,0.242569,8.150897,227.429810,0.000286,-0.000119,6.161757,5.798434,9.466813,-41.876999,170.050140,0.000114,35.353199,14.152843,61.738598,-124.498138,0.000069,0.000134,1.885678,26.340445,0.122213,-251.876144,0.000095,0.000124,-1.865892,-3.779057,3.688834,-227.429352,0.004616,0.000286,153.902664,36.361259,-131.240524,-48.880692,-2813.607178,533.185120,21.291063,42.427925,-59.226772,-1302.279297,1891.071655,-692.818726,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,-0.000000,-0.000003,0.000000,0.000315,-0.000007,55.248558,0.000003,-0.000205,-0.000004,0.000367,0.000013,55.248569
4,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.723209,-88.697334,-0.141252,35.676922,950.679932,2101.103271,-3.665893,-4.130641,2.044734,81.279556,0.000054,0.000043,10.450791,11.966605,-0.000002,0.000454,-368.754425,-0.000035,-7.858076,-0.462233,-0.226232,0.000162,-485.745422,-0.000007,-0.329681,0.000020,0.000000,-0.000191,-62.671135,144.523560,-2.786504,-9.832652,-3.174573,-81.280174,0.000174,-0.000038,8.282383,-15.401268,0.000023,0.000379,-368.754456,-0.000029,-5.657130,3.758849,0.163081,-0.000188,-485.745392,-0.000062,0.070503,0.000167,0.000003,-0.000134,-62.671234,144.523453,-5.906556,-0.998291,-1.519853,-0.000081,47.078316,0.000003,-0.709715,-4.824564,-0.471028,-0.000038,87.438416,-0.000031,8.296337,-2.340317,0.999048,-0.000035,92.622040,0.000009,0.507389,3.355059,0.781813,0.000468,198.268250,-0.000039,-3.475436,7.816557,-0.068175,-0.000381,137.423279,19.116476,7.741116,-7.202759,-9.370100,41.876949,170.044556,-0.000043,26.619085,-7.744256,-60.938824,124.498352,-0.000135,0.000277,-0.249891,-31.082367,0.000422,251.874817,0.000057,-0.000343,-1.190266,0.236615,8.160316,227.429733,-0.000153,0.000162,6.168552,5.794627,9.474731,-41.876434,170.050034,-0.000067,35.356400,14.141503,61.732117,-124.498558,-0.000057,-0.000057,1.895214,26.334053,0.121492,-251.875336,-0.000076,-0.000057,-1.881778,-3.779455,3.689346,-227.429733,0.004044,-0.000048,153.864105,36.344189,-131.252640,-48.062973,-2813.486816,532.599487,21.263453,42.453457,-59.257298,-1302.268677,1891.498779,-691.463074,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,-0.000000,-0.000003,0.000000,0.000367,-0.000010,55.248569,-0.000003,0.000191,0.000003,-0.000534,-0.000002,55.248474
5,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.723817,-88.691643,-0.140304,35.657310,950.676819,2100.974609,-3.668688,-4.129083,2.052902,81.279739,-0.000033,0.000043,10.453848,11.966747,-0.000000,0.000147,-368.754211,-0.000011,-7.859447,-0.468853,-0.232021,0.000005,-485.745697,0.000021,-0.331855,-0.000014,0.000001,0.000200,-62.671143,144.523605,-2.784443,-9.842492,-3.166785,-81.280205,0.000033,-0.000033,8.279659,-15.399679,0.000010,0.000031,-368.754272,-0.000061,-5.658669,3.764914,0.160129,0.000477,-485.745483,-0.000083,0.071554,0.000065,0.000002,-0.000744,-62.671162,144.523529,-5.909593,-0.997925,-1.518457,-0.000150,47.078171,-0.000001,-0.705936,-4.833218,-0.480441,0.000029,87.438568,-0.000015,8.303373,-2.342315,1.003169,0.000071,92.621796,-0.000020,0.508278,3.355762,0.789407,0.000267,198.268341,0.000038,-3.489373,7.821298,-0.061940,-0.000081,137.422913,19.116434,7.747397,-7.201809,-9.367688,41.876900,170.044830,0.000033,26.626772,-7.751657,-60.953182,124.498260,-0.000068,0.000172,-0.242562,-31.102922,0.000423,251.874878,-0.000134,-0.000019,-1.204771,0.230087,8.173392,227.429688,0.000305,-0.000129,6.170519,5.791438,9.484114,-41.876480,170.049957,-0.000043,35.353615,14.131255,61.726883,-124.498383,0.000095,0.000038,1.894595,26.321720,0.120786,-251.875473,-0.000076,0.000162,-1.874797,-3.783089,3.695282,-227.429794,0.004339,-0.000048,153.829727,36.327854,-131.263000,-47.297668,-2813.335938,532.113037,21.231106,42.475727,-59.295200,-1302.109985,1891.959473,-690.260254,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,0.000001,0.000038,0.000000,-0.000505,-0.000005,55.248524,-0.000002,0.000116,0.000002,-0.000353,-0.000012,55.248650
6,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.722337,-88.691040,-0.141757,35.643974,950.674561,2100.851318,-3.668118,-4.126701,2.061649,81.279907,0.000092,0.000000,10.457862,11.967671,-0.000002,-0.000033,-368.754425,-0.000030,-7.857553,-0.472746,-0.234735,0.000091,-485.745422,-0.000029,-0.332355,0.000010,0.000000,0.000267,-62.671200,144.523621,-2.785291,-9.848215,-3.160722,-81.280220,-0.000016,0.000005,8.286831,-15.398982,0.000010,-0.000024,-368.754272,-0.000017,-5.661829,3.766982,0.157123,0.000296,-485.745544,-0.000081,0.074047,0.000089,0.000002,-0.000324,-62.671185,144.523499,-5.909723,-0.998530,-1.513448,0.000024,47.078224,0.000001,-0.700226,-4.838818,-0.490519,-0.000272,87.438553,-0.000014,8.310611,-2.343293,1.002412,0.000082,92.621765,-0.000023,0.509056,3.357776,0.797650,0.000105,198.268433,-0.000035,-3.500914,7.830777,-0.055574,0.000000,137.423172,19.116459,7.752787,-7.202033,-9.365243,41.876720,170.044846,-0.000005,26.633381,-7.758201,-60.966293,124.498276,0.000126,0.000191,-0.238273,-31.118387,0.000396,251.874725,-0.000172,0.000019,-1.217106,0.221474,8.188076,227.429840,0.000172,-0.000305,6.171941,5.788335,9.493207,-41.876644,170.050110,-0.000043,35.346771,14.121637,61.723103,-124.498283,0.000021,0.000057,1.890929,26.308470,0.120152,-251.875031,-0.000267,0.000181,-1.858262,-3.785318,3.705519,-227.429962,0.004406,-0.000172,153.798370,36.311577,-131.271622,-46.558914,-2813.161133,531.712646,21.197611,42.497543,-59.335651,-1301.914307,1892.446167,-689.050842,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,0.000000,0.000000,0.000000,-0.000367,0.000009,55.248573,-0.000002,0.000123,0.000002,-0.000296,-0.000009,55.248489
