DataName,Data 2025-04-17 11-37-28,FrameRate,120,StartTime,2025.04.17 11:37:28:688,FrameCount,640,LengthUnits,mm,CoordinateSpace,World

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd
,ID,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,55,55,55,55,55,55,56,56,56,56,56,56,57,57,57,57,57,57,58,58,58,58,58,58,59,59,59,59,59,59
,,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.008333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-179.834427,-89.937439,-179.826813,-35.080170,950.927979,2113.492188,-2.332646,-2.357667,2.300752,81.279953,-0.000031,0.000000,8.285964,13.357441,0.000001,-0.000073,-368.754089,0.000002,-6.742009,-0.231791,-0.406589,0.000274,-485.745392,0.000026,-0.254769,-0.000007,-0.000000,0.000000,-62.671158,144.523499,-0.121036,-9.942007,-3.522605,-81.280258,0.000031,0.000019,6.031266,-23.658121,0.000005,0.000132,-368.754272,-0.000015,-5.131324,3.018032,0.494222,-0.000017,-485.745514,-0.000139,0.072827,-0.000003,-0.000000,0.000057,-62.671200,144.523483,-5.412190,-1.091718,-0.440726,-0.000001,47.078228,0.000004,-1.247222,-4.272785,-0.492133,-0.000061,87.438583,-0.000008,7.960954,-2.133398,-0.081699,-0.000115,92.621758,-0.000006,-0.280777,3.796305,0.302080,0.000322,198.268524,-0.000078,-4.274359,8.637278,-0.822474,-0.000052,137.423111,19.116508,8.101300,-5.331374,-12.770769,41.876789,170.045029,-0.000052,3.269179,-2.290654,-49.072605,124.498306,-0.000242,0.000124,178.095566,-64.902328,179.997543,251.875031,0.000076,-0.000095,-3.170037,-5.043764,18.699057,227.078781,0.063457,-0.320339,6.853730,4.079814,10.290242,-41.876320,170.050293,-0.000062,14.672647,12.328907,49.403923,-124.498367,0.000054,0.000000,173.468430,74.494423,175.672882,-251.875671,0.000067,0.000172,-2.341745,0.455096,-8.574795,-227.549835,-0.175865,-0.176640,102.718575,-29.316536,-173.636429,-1378.366699,-2651.354980,220.928345,69.366737,-18.590954,-11.601148,-170.687469,1461.807617,-1997.484131,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,0.000000,0.000000,-0.000000,0.000062,-0.000003,55.248569,0.000000,-0.000000,0.000000,0.000052,0.000002,55.248531
2,0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-179.845337,-89.940651,-179.832672,-35.019505,950.912781,2113.498779,-2.317510,-2.350361,2.298855,81.280098,-0.000097,-0.000095,8.284445,13.354386,-0.000009,0.000021,-368.754211,-0.000001,-6.748550,-0.231740,-0.404215,-0.000129,-485.745483,0.000033,-0.253811,-0.000007,0.000000,0.000086,-62.671196,144.523453,-0.113212,-9.929936,-3.527127,-81.280098,0.000021,0.000095,6.040416,-23.662306,0.000004,0.000069,-368.754333,-0.000030,-5.137182,3.014024,0.491913,-0.000136,-485.745605,-0.000021,0.075184,0.000017,0.000000,0.000114,-62.671185,144.523636,-5.411672,-1.094120,-0.448037,-0.000000,47.078152,-0.000003,-1.227261,-4.284007,-0.497127,0.000170,87.438736,-0.000004,7.948442,-2.141346,-0.085922,-0.000158,92.622032,0.000031,-0.285930,3.794457,0.315487,0.000186,198.268417,-0.000045,-4.313481,8.626160,-0.819439,-0.000026,137.422897,19.116512,8.108448,-5.326578,-12.771622,41.876747,170.044678,-0.000100,3.261378,-2.301549,-49.063114,124.498047,0.000021,-0.000401,178.082703,-64.891312,179.997223,251.875000,0.000496,-0.001221,-3.166004,-5.053958,18.727287,227.093491,0.092831,-0.339069,6.847471,4.080936,10.298593,-41.876709,170.049988,0.000038,14.651116,12.336573,49.399326,-124.498215,0.000017,0.000372,173.477722,74.498779,175.670959,-251.875427,0.000010,0.000153,-2.365088,0.464254,-8.578608,-227.583618,-0.174475,-0.158520,102.686852,-29.353943,-173.635925,-1378.942261,-2651.059814,220.783386,69.354034,-18.611532,-11.548569,-171.371735,1460.976685,-1998.063721,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,-0.000001,-0.000031,-0.000000,0.000067,-0.000003,55.248611,-0.000000,-0.000000,-0.000000,-0.000162,-0.000000,55.248703
3,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-179.853134,-89.925980,-179.836319,-34.987019,950.892029,2113.492188,-2.305520,-2.348301,2.298302,81.280281,-0.000030,0.000038,8.282403,13.350193,0.000002,-0.000216,-368.754272,0.000032,-6.755390,-0.230272,-0.400998,-0.000138,-485.745514,0.000010,-0.252906,0.000010,0.000000,0.000057,-62.671162,144.523560,-0.107620,-9.920486,-3.529875,-81.280128,0.000030,-0.000048,6.049901,-23.667130,0.000001,-0.000163,-368.754211,0.000019,-5.149455,3.009673,0.493122,-0.000043,-485.745575,-0.000056,0.076417,-0.000003,0.000000,0.000305,-62.671165,144.523529,-5.409751,-1.096104,-0.456404,0.000143,47.078098,-0.000008,-1.214951,-4.294596,-0.503352,0.000328,87.438705,0.000009,7.933663,-2.152172,-0.086949,-0.000312,92.622063,0.000057,-0.293226,3.782634,0.329418,0.000341,198.268646,-0.000025,-4.344216,8.609172,-0.814814,-0.000267,137.422729,19.116467,8.120245,-5.319871,-12.769650,41.876778,170.044861,0.000043,3.256165,-2.307209,-49.056133,124.498245,-0.000113,0.000277,178.077713,-64.876839,179.997849,251.874924,-0.000458,0.000877,-3.174237,-5.062470,18.753355,227.119598,0.113964,-0.350552,6.846148,4.079471,10.305652,-41.876633,170.050079,-0.000043,14.633176,12.340934,49.397480,-124.498245,0.000052,-0.000076,173.493454,74.496925,175.671555,-251.875473,-0.000162,-0.000191,-2.385699,0.469466,-8.588150,-227.635498,-0.224204,-0.202112,102.653740,-29.386955,-173.632950,-1379.445801,-2650.814209,220.461273,69.339417,-18.631697,-11.494868,-172.071075,1460.153809,-1998.616699,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,0.000000,0.000000,-0.000000,0.000076,0.000009,55.248455,-0.000000,0.000014,-0.000000,-0.000153,0.000000,55.248573
4,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-179.856506,-89.931473,-179.836731,-34.959087,950.873535,2113.496826,-2.301732,-2.341594,2.296656,81.279976,0.000065,-0.000038,8.280668,13.347952,-0.000002,0.000107,-368.754333,-0.000025,-6.768944,-0.227867,-0.397056,0.000215,-485.745514,0.000007,-0.251911,0.000020,-0.000000,-0.000315,-62.671162,144.523453,-0.110268,-9.914122,-3.532588,-81.280426,0.000011,0.000029,6.059362,-23.669359,-0.000000,0.000608,-368.754272,-0.000057,-5.154090,3.010953,0.491534,-0.000010,-485.745422,0.000012,0.077336,0.000014,-0.000000,-0.000076,-62.671196,144.523438,-5.397768,-1.092516,-0.466703,-0.000155,47.078232,0.000002,-1.209333,-4.300025,-0.509788,0.000255,87.438812,0.000009,7.901920,-2.157794,-0.079308,-0.000209,92.621803,0.000009,-0.301684,3.766050,0.341299,0.000480,198.268585,-0.000041,-4.368855,8.590049,-0.808247,-0.000081,137.423096,19.116446,8.137861,-5.315566,-12.773213,41.876900,170.044861,-0.000038,3.258522,-2.311430,-49.052280,124.498306,-0.000026,-0.000229,178.081726,-64.864014,179.997498,251.875061,0.000305,-0.000648,-3.188148,-5.072150,18.774096,227.202438,0.123158,-0.304565,6.848466,4.076815,10.317187,-41.876312,170.050125,0.000000,14.608829,12.321951,49.391861,-124.498444,-0.000037,0.000086,173.516449,74.481415,175.675537,-251.875595,-0.000105,0.000057,-2.401433,0.474580,-8.597608,-227.633850,-0.196447,-0.181961,102.619179,-29.416597,-173.626083,-1379.860596,-2650.628662,219.952087,69.323753,-18.651367,-11.439955,-172.852188,1459.240479,-1999.241821,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,0.000000,0.000003,0.000000,0.000038,-0.000007,55.248623,-0.000000,0.000000,0.000000,-0.000463,0.000001,55.248661
5,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-179.850342,-90.000000,-179.828476,-34.597431,950.886963,2113.620117,-2.368800,-2.391655,2.293535,81.280067,0.000024,-0.000095,8.315655,13.336477,-0.000005,-0.000291,-368.754333,0.000001,-6.760939,-0.222308,-0.394245,0.000098,-485.745697,0.000017,-0.250001,-0.000024,0.000000,0.000496,-62.671207,144.523575,-0.151569,-9.935059,-3.541451,-81.280060,-0.000024,0.000095,6.084799,-23.693373,0.000001,0.000068,-368.754272,-0.000010,-5.142739,2.995219,0.491542,-0.000012,-485.745605,0.000005,0.078498,-0.000010,-0.000000,0.000057,-62.671223,144.523483,-5.320892,-1.063318,-0.434104,0.000012,47.078224,0.000000,-1.238458,-4.366060,-0.550101,0.000434,87.438660,0.000009,7.850157,-2.194417,-0.081509,-0.000171,92.621918,-0.000001,-0.329576,3.747291,0.343658,-0.000124,198.268372,0.000013,-4.407666,8.571943,-0.807360,-0.000033,137.423264,19.116467,8.142219,-5.326294,-12.778441,41.876545,170.044861,-0.000019,3.254965,-2.324413,-49.042034,124.498253,-0.000279,-0.000296,178.091248,-64.865776,179.997284,251.874878,-0.000114,-0.000572,-3.209763,-5.088061,18.800356,227.269821,0.145712,-0.257492,6.834666,4.078249,10.335429,-41.876648,170.049988,0.000048,14.574580,12.311104,49.377213,-124.498383,-0.000150,0.000181,173.534866,74.476700,175.676544,-251.875229,0.000381,0.000324,-2.415435,0.489752,-8.604905,-227.692413,-0.233512,-0.215454,102.585136,-29.441824,-173.615982,-1380.119873,-2650.525391,219.342957,69.307503,-18.670618,-11.385983,-173.586197,1458.380127,-1999.816162,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,-0.000000,-0.000010,-0.000000,0.000210,0.000004,55.248611,0.000000,0.000000,0.000000,0.000348,0.000002,55.248466
6,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159770,-89.980217,0.177108,-34.471661,950.868774,2113.652344,-2.405015,-2.426101,2.294470,81.280067,0.000112,0.000038,8.335119,13.336331,0.000003,0.000339,-368.754333,-0.000013,-6.770539,-0.201577,-0.388360,-0.000257,-485.745392,-0.000060,-0.250821,-0.000017,-0.000000,-0.000019,-62.671173,144.523544,-0.180442,-9.944840,-3.543067,-81.280067,-0.000036,-0.000038,6.100105,-23.703102,-0.000001,-0.000138,-368.754272,-0.000001,-5.149635,2.995576,0.490279,0.000181,-485.745575,0.000064,0.079966,0.000027,-0.000000,0.000134,-62.671169,144.523346,-5.294037,-1.053873,-0.427060,-0.000021,47.078148,0.000000,-1.267467,-4.400996,-0.574280,0.000133,87.438721,0.000001,7.824674,-2.204464,-0.072287,0.000023,92.621948,0.000017,-0.341356,3.728591,0.351684,0.000125,198.268295,-0.000013,-4.425004,8.549899,-0.805554,0.000103,137.423431,19.116463,8.156955,-5.322768,-12.780701,41.876724,170.044495,-0.000010,3.256499,-2.323161,-49.032688,124.497971,0.000151,0.000019,178.102753,-64.861275,179.997589,251.874847,-0.000038,0.000000,-3.237288,-5.098201,18.825462,227.331696,0.159845,-0.194416,6.838701,4.080966,10.347617,-41.876522,170.050034,0.000014,14.554397,12.293957,49.375385,-124.498283,-0.000075,-0.000010,173.542816,74.458481,175.681854,-251.875641,0.000210,0.000038,-2.407458,0.497803,-8.612564,-227.723770,-0.180650,-0.211425,102.552856,-29.463072,-173.602310,-1380.179932,-2650.526123,218.694153,69.292313,-18.688917,-11.333426,-174.366486,1457.515625,-2000.410034,0.000000,0.000000,0.000000,0.000000,123.822060,0.000000,-0.000000,-0.000014,0.000000,-0.000372,0.000012,55.248474,0.000000,-0.000017,-0.000000,-0.000105,-0.000007,55.248772
