DataName,Data 2025-04-17 11-28-18,FrameRate,120,StartTime,2025.04.17 11:28:18:231,FrameCount,952,LengthUnits,mm,CoordinateSpace,World

,Type,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone,Bone
,Name,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Root,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:Hips,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftUpLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftLeg,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftFoot,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:LeftToe,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightUpLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightLeg,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightFoot,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:RightToe,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine1,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Spine2,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Chest,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Neck,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:Head,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftShoulder,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftForeArm,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:LeftHand,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightShoulder,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightForeArm,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:RightHand,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:LHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:RHandEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:HeadEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:LToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd,Skeleton0417:RToeEnd
,ID,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8,9,9,9,9,9,9,10,10,10,10,10,10,11,11,11,11,11,11,12,12,12,12,12,12,13,13,13,13,13,13,14,14,14,14,14,14,15,15,15,15,15,15,16,16,16,16,16,16,17,17,17,17,17,17,18,18,18,18,18,18,20,20,20,20,20,20,21,21,21,21,21,21,22,22,22,22,22,22,23,23,23,23,23,23,55,55,55,55,55,55,56,56,56,56,56,56,57,57,57,57,57,57,58,58,58,58,58,58,59,59,59,59,59,59
,,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset,Rotation,Rotation,Rotation,Offset,Offset,Offset
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1,0.008333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179.562592,6.191167,-178.894989,-178.715836,950.888367,2579.268555,-0.755105,1.452948,4.518935,81.538887,0.000099,-0.000010,9.589037,10.168728,-0.000001,-0.000019,-371.051300,-0.000043,-7.427325,-2.544653,-1.604952,0.000019,-483.579529,-0.000134,0.018910,0.000000,0.000000,-0.000037,-62.726559,144.651459,-1.008678,-2.061291,-3.728896,-81.538879,-0.000019,-0.000297,8.757729,-15.939204,0.000002,0.000050,-371.051147,0.000357,-5.171029,8.143599,1.671395,-0.000050,-483.579590,-0.000272,0.292329,-0.000005,-0.000000,-0.000067,-62.726589,144.651611,-5.260376,-0.674337,1.249312,0.000039,45.695824,0.000132,1.778853,-2.457789,0.018747,-0.000002,84.870941,0.000067,8.288991,-0.753612,-0.222068,-0.000054,89.902145,0.000005,-0.300019,1.340657,-0.519022,0.000028,200.649429,-0.000378,-1.475427,5.782756,-0.749986,0.000035,139.073441,19.346317,7.696131,-7.715633,-8.296157,43.037437,174.757980,0.000076,20.968664,-8.636828,-61.313320,124.073929,0.000176,0.000248,-3.683828,-37.998665,0.000375,250.158417,-0.000019,-0.000334,-9.013677,0.104644,4.829740,228.839996,0.000162,0.000210,8.577644,9.199980,5.668380,-43.037392,174.763519,-0.000121,34.384415,13.615496,64.401268,-124.073799,0.000128,0.000644,1.901783,29.865993,0.516701,-250.158707,-0.000095,-0.000229,-2.329095,-2.671973,-0.788193,-228.839905,0.003986,-0.000019,141.913055,-33.516502,-84.278389,2242.816895,-452.247467,2044.788208,156.935547,41.884098,90.917732,-1793.006348,249.860107,2354.126465,0.000000,0.000000,0.000000,0.000000,126.201637,0.000000,-0.000000,-0.000000,-0.000000,-0.000008,-0.000004,55.252869,-0.000000,0.000005,-0.000000,0.000150,-0.000002,55.252689
2,0.016667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179.581772,6.167917,-178.886993,-178.369598,950.910034,2579.317383,-0.791377,1.418577,4.550224,81.538834,0.000034,-0.000377,9.610020,10.170352,-0.000001,-0.000005,-371.051300,0.000665,-7.417979,-2.536378,-1.613613,-0.000010,-483.579437,0.000124,0.015699,0.000001,0.000000,0.000082,-62.726521,144.651291,-1.039482,-2.104677,-3.705497,-81.538864,-0.000108,0.000070,8.782907,-15.948175,0.000002,0.000019,-371.051056,0.000440,-5.158617,8.167919,1.651044,-0.000091,-483.579529,-0.000339,0.297003,0.000005,0.000000,0.000076,-62.726559,144.651352,-5.241156,-0.695779,1.255260,-0.000034,45.695808,-0.000409,1.776472,-2.463528,0.021091,0.000025,84.871025,0.000255,8.274241,-0.764894,-0.206802,-0.000005,89.902122,-0.000068,-0.315360,1.346152,-0.524005,0.000049,200.649353,-0.000010,-1.485899,5.802185,-0.753070,-0.000053,139.073868,19.345924,7.684303,-7.715618,-8.298892,43.037498,174.758270,0.000386,20.904293,-8.709223,-61.313370,124.073753,-0.000138,0.000019,-3.672147,-38.127415,0.000303,250.158157,0.000210,-0.000210,-8.970406,0.095480,4.859943,228.839645,-0.000286,-0.000267,8.572531,9.204214,5.656257,-43.037395,174.763702,-0.000018,34.381077,13.611840,64.405952,-124.073868,-0.000027,0.000404,1.894721,29.855606,0.516217,-250.158920,0.000153,0.000238,-2.323664,-2.679486,-0.772655,-228.839600,0.004330,0.000038,141.663864,-33.515076,-84.182411,2249.592285,-453.065125,2035.464966,156.973984,41.865257,90.913780,-1791.664795,249.813416,2355.438477,0.000000,0.000000,0.000000,0.000000,126.201637,0.000000,-0.000000,0.000000,-0.000000,-0.000045,0.000006,55.252373,0.000000,0.000002,-0.000000,-0.000079,0.000009,55.253120
3,0.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179.600555,6.160402,-178.878677,-178.023148,950.939026,2579.345459,-0.818504,1.391492,4.581165,81.538818,0.000005,-0.000113,9.623080,10.175384,0.000002,0.000019,-371.051178,-0.000221,-7.407528,-2.527400,-1.626141,0.000006,-483.579407,0.000286,0.012498,0.000001,0.000000,-0.000080,-62.726562,144.651123,-1.068446,-2.140245,-3.679527,-81.538864,-0.000006,0.000119,8.804447,-15.952148,-0.000003,0.000081,-371.051208,0.000505,-5.150816,8.201247,1.646808,-0.000188,-483.579468,-0.000520,0.303288,0.000003,0.000000,0.000010,-62.726574,144.651123,-5.229430,-0.708583,1.268485,-0.000026,45.695881,-0.000040,1.775495,-2.466351,0.027831,0.000028,84.870979,0.000060,8.265988,-0.778148,-0.199518,-0.000007,89.902184,-0.000075,-0.331860,1.345190,-0.539869,-0.000004,200.649292,0.000225,-1.494283,5.812150,-0.760277,0.000035,139.073563,19.346275,7.673591,-7.713614,-8.311147,43.037430,174.758118,0.000074,20.832556,-8.776000,-61.312527,124.073982,0.000052,0.000062,-3.679103,-38.249138,0.000296,250.158234,-0.000095,0.000105,-8.980583,0.053459,4.887838,228.839539,-0.000172,-0.000267,8.566219,9.189299,5.636231,-43.037457,174.763626,0.000048,34.369415,13.611264,64.414497,-124.073677,0.000119,-0.000237,1.899009,29.866047,0.516503,-250.158722,0.000076,0.000095,-2.302817,-2.697369,-0.747697,-228.839844,0.004387,-0.000095,141.400497,-33.434074,-84.071167,2257.094482,-456.283875,2024.748413,157.007858,41.843613,90.909874,-1790.527832,249.518814,2356.688965,0.000000,0.000000,0.000000,0.000000,126.201637,0.000000,-0.000000,0.000000,0.000000,0.000086,0.000004,55.252918,-0.000000,0.000000,0.000000,-0.000076,-0.000016,55.253433
4,0.033333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179.618149,6.161889,-178.866608,-177.691132,950.967651,2579.362549,-0.838655,1.375919,4.614254,81.538887,-0.000015,-0.000087,9.631118,10.183805,-0.000001,-0.000038,-371.051056,-0.000151,-7.398744,-2.519599,-1.633134,-0.000033,-483.579468,0.000224,0.010505,0.000001,0.000000,-0.000038,-62.726593,144.651123,-1.098590,-2.168923,-3.652440,-81.538811,0.000090,0.000386,8.829632,-15.951903,-0.000007,-0.000024,-371.051178,-0.000249,-5.140902,8.237058,1.643422,0.000117,-483.579529,0.000386,0.311193,-0.000012,-0.000000,-0.000105,-62.726448,144.650650,-5.219824,-0.714767,1.274579,0.000034,45.695797,0.000346,1.775723,-2.459696,0.037756,-0.000048,84.871071,-0.000429,8.262473,-0.783760,-0.191203,0.000028,89.901817,0.000025,-0.344658,1.338053,-0.540668,0.000017,200.649536,0.000285,-1.506942,5.818668,-0.764703,-0.000042,139.073502,19.345737,7.659750,-7.727914,-8.314860,43.037491,174.758514,0.000753,20.770344,-8.851363,-61.317612,124.073776,-0.000398,-0.000629,-3.689093,-38.370819,0.000296,250.158508,0.000114,-0.000019,-9.052977,-0.088857,4.914678,228.839890,0.000105,0.000153,8.565964,9.205122,5.625623,-43.037411,174.763565,0.000293,34.372986,13.605997,64.410995,-124.073654,0.000124,-0.000482,1.890067,29.858273,0.515669,-250.158844,-0.000305,-0.000305,-2.326687,-2.697919,-0.744417,-228.839417,0.004463,0.000114,141.012512,-33.280701,-83.865974,2268.633789,-460.603577,2009.049316,157.039825,41.823494,90.906212,-1789.400757,249.263184,2357.821777,0.000000,0.000000,0.000000,0.000000,126.201637,0.000000,-0.000000,-0.000000,-0.000000,0.000036,0.000008,55.253395,-0.000000,-0.000002,0.000000,0.000138,0.000012,55.253109
5,0.041667,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179.637543,6.164090,-178.857727,-177.364319,950.999390,2579.367188,-0.858400,1.367349,4.643513,81.538818,0.000101,-0.000453,9.636593,10.190621,-0.000000,0.000019,-371.051331,0.000821,-7.391789,-2.512192,-1.641329,0.000023,-483.579468,0.000138,0.006814,0.000002,0.000000,0.000000,-62.726532,144.651062,-1.126512,-2.197032,-3.627235,-81.538841,-0.000025,0.000454,8.851929,-15.960604,0.000002,-0.000076,-371.051178,-0.000166,-5.128616,8.258312,1.627288,-0.000043,-483.579468,0.000048,0.317148,0.000009,0.000000,0.000134,-62.726570,144.651367,-5.214435,-0.720419,1.284941,-0.000006,45.695808,-0.000074,1.771917,-2.455848,0.050498,-0.000018,84.870956,-0.000062,8.260497,-0.791181,-0.187157,0.000017,89.902145,-0.000135,-0.353275,1.332940,-0.553482,-0.000070,200.649643,-0.000063,-1.518299,5.819462,-0.771845,0.000029,139.073425,19.345991,7.653489,-7.755812,-8.324721,43.037369,174.758362,0.000372,20.736557,-8.927301,-61.325512,124.074036,0.000026,-0.000300,-3.667634,-38.485180,0.000275,250.158554,0.000038,0.000029,-9.048627,-0.080930,4.941162,228.839874,0.000038,0.000000,8.563541,9.213562,5.617884,-43.037476,174.763794,0.000445,34.377144,13.602201,64.406982,-124.073708,-0.000205,-0.000209,1.883960,29.859335,0.515576,-250.158752,-0.000114,-0.000706,-2.340356,-2.711087,-0.739006,-228.839798,0.004120,-0.000153,140.785721,-33.286316,-83.744003,2274.859375,-459.471497,2000.386353,157.066879,41.802422,90.900513,-1788.416016,248.931732,2358.813232,0.000000,0.000000,0.000000,0.000000,126.201637,0.000000,0.000000,0.000000,0.000000,0.000035,0.000007,55.252518,-0.000000,0.000002,0.000000,0.000055,-0.000001,55.252930
6,0.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,179.643753,6.217663,-178.863159,-177.149353,951.049805,2579.164551,-0.830091,1.397071,4.649139,81.538887,0.000032,0.000042,9.616512,10.209246,-0.000003,-0.000012,-371.051208,0.000366,-7.382697,-2.510067,-1.652422,-0.000008,-483.579407,-0.000596,0.006164,-0.000001,-0.000000,0.000076,-62.726639,144.651810,-1.134093,-2.205331,-3.625187,-81.538864,-0.000031,-0.000044,8.861081,-15.946828,0.000010,-0.000086,-371.051147,0.000104,-5.104376,8.309336,1.628116,0.000112,-483.579376,0.000072,0.322594,-0.000002,0.000000,0.000048,-62.726608,144.651169,-5.239674,-0.684198,1.307018,-0.000011,45.695763,-0.000143,1.775219,-2.444241,0.060346,-0.000021,84.871078,0.000080,8.278543,-0.795943,-0.197488,-0.000020,89.901978,-0.000554,-0.350618,1.330036,-0.578628,0.000042,200.649750,0.000389,-1.526709,5.818105,-0.778445,-0.000026,139.073700,19.346037,7.647511,-7.764934,-8.348145,43.037445,174.758331,0.000193,20.686693,-8.994107,-61.336658,124.074081,-0.000048,0.000634,-3.665760,-38.588665,0.000348,250.158005,-0.000095,-0.000124,-9.062267,-0.078413,4.965906,228.839951,-0.000019,-0.000134,8.567864,9.214258,5.608477,-43.037430,174.763672,0.000023,34.383499,13.587596,64.390823,-124.073799,0.000308,0.000080,1.880365,29.860117,0.515193,-250.158844,0.000076,-0.000191,-2.354783,-2.711209,-0.729346,-228.840149,0.004368,0.000381,140.577820,-33.222889,-83.653709,2280.630127,-461.723480,1991.532715,157.087494,41.781384,90.891243,-1787.635742,248.552673,2359.697021,0.000000,0.000000,0.000000,0.000000,126.201637,0.000000,0.000000,-0.000000,0.000000,-0.000005,0.000004,55.252563,-0.000000,-0.000000,-0.000000,-0.000145,0.000004,55.253174
